Product Name,Sentiment
"vivo T4x 5G (Marine Blue, 128 GB)",Neutral
"MOTOROLA g05 (Forest Green, 64 GB)",Neutral
"REDMI A5 (Jaisalmer Gold, 64 GB)",Neutral
"Motorola g45 5G (Brilliant Blue, 128 GB)",Neutral
"Nothing Phone (3a) (Blue, 128 GB)",Positive
"Nothing Phone (3a) Pro (Black, 128 GB)",Positive
"vivo T4x 5G (Pronto Purple, 256 GB)",Neutral
"POCO C75 5G (Enchanted Green, 64 GB)",Neutral
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",Neutral
"Samsung Galaxy F05 (Twilight Blue, 64 GB)",Neutral
